pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
AU Mic b,AU Mic,1,4.79,0.29,-0.29,8.463446,5e-06,-5e-06,554.8,31.6,-32.0,3540.0,120.0,-110.0,0.862,0.052,-0.052,0.635,0.04,-0.07,0.29,5e-06,31.8,0.052,0.052,0.05500000000000001,0
AU Mic c,AU Mic,1,2.79,0.18,-0.17,18.859023,2.2e-05,-2.4e-05,424.7,24.2,-24.5,3540.0,120.0,-110.0,0.862,0.052,-0.052,0.635,0.04,-0.07,0.175,2.3e-05,24.35,0.052,0.052,0.05500000000000001,0
BD-14 3065 b,BD-14 3065 A,1,21.59,1.05,-1.05,4.2889731,5.2e-06,-5.2e-06,2001.0,31.0,-31.0,6935.0,90.0,-90.0,2.35,0.08,-0.08,1.41,0.05,-0.05,1.05,5.2e-06,31.0,0.08,0.08,0.05,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,20.8487041,0.56044903,-0.56044903,8040000.0,470000.0,-470000.0,1800.0,40.0,-40.0,2320.0,40.0,-40.0,0.245,0.007,-0.008,0.0147,0.0008,-0.0008,0.56044903,470000.0,40.0,0.0075,0.0075,0.0008,0
CoRoT-1 b,CoRoT-1,1,16.7,0.9,-0.9,1.5089557,6.4e-06,-6.4e-06,1898.0,50.0,-50.0,5950.0,150.0,-150.0,1.11,0.05,-0.05,0.95,0.15,-0.15,0.9,6.4e-06,50.0,0.05,0.05,0.15,0
CoRoT-10 b,CoRoT-10,1,10.87,0.78,-0.78,13.2406,0.0002,-0.0002,600.0,23.0,-23.0,5075.0,75.0,-75.0,0.79,0.05,-0.05,0.89,0.05,-0.05,0.78,0.0002,23.0,0.05,0.05,0.05,0
CoRoT-11 b,CoRoT-11,1,16.03,0.34,-0.34,2.99433,1.1e-05,-1.1e-05,1657.0,55.0,-55.0,6440.0,120.0,-120.0,1.37,0.03,-0.03,1.27,0.05,-0.05,0.34,1.1e-05,55.0,0.03,0.03,0.05,0
CoRoT-12 b,CoRoT-12,1,16.14,1.46,-1.46,2.828042,1.3e-05,-1.3e-05,1442.0,58.0,-58.0,5675.0,80.0,-80.0,1.116,0.096,-0.092,1.078,0.077,-0.072,1.46,1.3e-05,58.0,0.094,0.094,0.0745,0
CoRoT-13 b,CoRoT-13,1,9.92,0.157,-0.157,4.03519,3e-05,-3e-05,1700.0,,,5945.0,90.0,-90.0,1.01,0.03,-0.03,1.09,0.02,-0.02,0.157,3e-05,0.0,0.03,0.03,0.02,0
CoRoT-14 b,CoRoT-14,1,12.22,0.78,-0.78,1.51214,0.00013,-0.00013,1952.0,66.0,-66.0,6035.0,100.0,-100.0,1.21,0.08,-0.08,1.13,0.09,-0.09,0.78,0.00013,66.0,0.08,0.08,0.09,0
CoRoT-17 b,CoRoT-17,1,11.43,0.78,-0.78,3.7681,0.0003,-0.0003,1626.0,31.0,-31.0,5740.0,80.0,-80.0,1.59,0.07,-0.07,1.04,0.1,-0.1,0.78,0.0003,31.0,0.07,0.07,0.1,0
CoRoT-18 b,CoRoT-18,1,14.68,2.02,-2.02,1.9000693,2.8e-06,-2.8e-06,1550.0,90.0,-90.0,5440.0,100.0,-100.0,1.0,0.13,-0.13,0.95,0.15,-0.15,2.02,2.8e-06,90.0,0.13,0.13,0.15,0
CoRoT-19 b,CoRoT-19,1,14.46,0.34,-0.34,3.89713,2e-05,-2e-05,2000.0,150.0,-150.0,6090.0,70.0,-70.0,1.65,0.04,-0.04,1.21,0.05,-0.05,0.34,2e-05,150.0,0.04,0.04,0.05,0
CoRoT-22 b,CoRoT-22,1,4.88,0.17,-0.39,9.75598,0.00011,-0.00011,885.0,53.0,-280.0,5939.0,54.0,-120.0,1.136,0.038,-0.09,1.099,0.049,-0.049,0.28,0.00011,166.5,0.064,0.064,0.049,0
CoRoT-23 b,CoRoT-23,1,11.77,1.46,-1.46,3.6313,0.0001,-0.0001,1660.0,,,5900.0,100.0,-100.0,1.61,0.18,-0.18,1.14,0.08,-0.08,1.46,0.0001,0.0,0.18,0.18,0.08,0
CoRoT-24 b,CoRoT-24,1,3.7,0.4,-0.4,5.1134,0.0006,-0.0006,1070.0,140.0,-140.0,4950.0,150.0,-150.0,0.86,0.09,-0.09,0.91,0.09,-0.09,0.4,0.0006,140.0,0.09,0.09,0.09,0
CoRoT-24 c,CoRoT-24,1,5.0,0.5,-0.5,11.759,0.0063,-0.0063,850.0,80.0,-80.0,4950.0,150.0,-150.0,0.86,0.09,-0.09,0.91,0.09,-0.09,0.5,0.0063,80.0,0.09,0.09,0.09,0
CoRoT-25 b,CoRoT-25,1,12.11,3.4,-1.12,4.86069,6e-05,-6e-05,1330.0,80.0,-40.0,6040.0,90.0,-90.0,1.19,0.14,-0.03,1.09,0.11,-0.05,2.26,6e-05,60.0,0.085,0.085,0.08,0
CoRoT-26 b,CoRoT-26,1,14.12,1.46,-0.78,4.20474,5e-05,-5e-05,1600.0,80.0,-70.0,5590.0,100.0,-100.0,1.79,0.18,-0.09,1.09,0.06,-0.06,1.12,5e-05,75.0,0.135,0.135,0.06,0
CoRoT-27 b,CoRoT-27,1,11.287,0.493,-0.493,3.57532,6e-05,-6e-05,1500.0,130.0,-130.0,5900.0,120.0,-120.0,1.08,0.18,-0.06,1.05,0.11,-0.11,0.493,6e-05,130.0,0.12,0.12,0.11,0
CoRoT-32 b,CoRoT-32,1,6.38913,0.67254,-0.56045,6.71837,1e-05,-1e-05,938.0,65.0,-52.0,5970.0,100.0,-100.0,0.79,0.08,-0.09,1.08,0.08,-0.07,0.616495,1e-05,58.5,0.08499999999999999,0.08499999999999999,0.07500000000000001,0
CoRoT-35 b,CoRoT-35,1,18.83108758,1.23298788,-1.23298788,3.22748,8e-05,-8e-05,1747.0,62.0,-62.0,6390.0,130.0,-130.0,1.65,0.1,-0.11,1.01,0.07,-0.06,1.23298788,8e-05,62.0,0.10500000000000001,0.10500000000000001,0.065,0
CoRoT-36 b,CoRoT-36,1,15.80466279,1.5692573,-1.5692573,5.616531,2.3e-05,-2.3e-05,1567.0,35.0,-35.0,6730.0,140.0,-140.0,1.52,0.2,-0.1,1.32,0.09,-0.09,1.5692573,2.3e-05,35.0,0.15000000000000002,0.15000000000000002,0.09,0
CoRoT-4 b,CoRoT-4,1,13.34,0.67,-0.56,9.20205,0.00037,-0.00037,1074.0,19.0,-19.0,6190.0,60.0,-60.0,1.17,0.01,-0.03,1.16,0.03,-0.02,0.615,0.00037,19.0,0.02,0.02,0.025,0
CoRoT-5 b,CoRoT-5,1,15.558,0.516,-0.527,4.0378962,1.9e-06,-1.9e-06,1438.0,39.0,-39.0,6100.0,65.0,-65.0,1.186,0.04,-0.04,1.0,0.02,-0.02,0.5215000000000001,1.9e-06,39.0,0.04,0.04,0.02,0
CoRoT-6 b,CoRoT-6,1,13.068,0.392,-0.392,8.886593,4e-06,-4e-06,1017.0,19.0,-19.0,6090.0,70.0,-70.0,1.025,0.026,-0.026,1.05,0.05,-0.05,0.392,4e-06,19.0,0.026,0.026,0.05,0
CoRoT-9 b,CoRoT-9,1,11.948794,0.840675,-0.706167,95.272656,6.8e-05,-6.8e-05,420.0,16.0,-16.0,5625.0,80.0,-80.0,0.96,0.06,-0.06,0.96,0.04,-0.04,0.7734209999999999,6.8e-05,16.0,0.06,0.06,0.04,0
DS Tuc A b,DS Tuc A,1,5.7,0.17,-0.17,8.138268,1.1e-05,-1.1e-05,850.0,,,5428.0,80.0,-80.0,0.964,0.029,-0.029,1.01,0.06,-0.06,0.17,1.1e-05,0.0,0.029,0.029,0.06,0
EPIC 201595106 b,EPIC 201595106,1,1.565,0.079,-0.079,0.87724,4e-05,-4e-05,2038.0,39.0,-39.0,5679.0,60.0,-39.0,0.98,0.025,-0.025,0.958,0.048,-0.048,0.079,4e-05,39.0,0.025,0.025,0.048,0
EPIC 205950854 c,K2-168,1,1.31,0.144,-0.063,8.050722,7.5e-05,-3.8e-05,960.6,20.5,-10.2,5502.7,101.0,-50.5,0.83,0.087,-0.043,0.877,0.06,-0.029,0.1035,5.65e-05,15.35,0.065,0.065,0.0445,0
EPIC 211822797 b,EPIC 211822797,1,1.92,0.12,-0.07,21.1701963,6.62e-05,-6.42e-05,431.0,4.0,-17.0,4057.0,37.0,-39.0,0.58,0.01,-0.01,0.62,0.02,-0.02,0.095,6.52e-05,10.5,0.01,0.01,0.02,0
EPIC 211945201 b,EPIC 211945201,1,5.76,0.3,-0.3,19.49221,0.000666,-0.000653,817.0,15.0,-14.0,6069.0,90.0,-90.0,1.39,0.02,-0.02,1.17,0.04,-0.04,0.3,0.0006595,14.5,0.02,0.02,0.04,0
EPIC 212297394 b,EPIC 212297394,1,1.48,0.13,-0.11,2.289363,0.000232,-0.000251,1149.0,43.0,-44.0,5171.0,172.0,-130.0,0.8,0.03,-0.03,0.83,0.05,-0.04,0.12,0.0002415,43.5,0.03,0.03,0.045,0
EPIC 212297394 c,EPIC 212297394,1,2.27,0.19,-0.14,5.213965,0.000442,-0.000442,866.0,27.0,-37.0,5171.0,172.0,-130.0,0.8,0.03,-0.03,0.83,0.05,-0.04,0.165,0.000442,32.0,0.03,0.03,0.045,0
EPIC 212587672 b,EPIC 212587672,1,1.26,0.11,-0.09,15.28078,0.000121,-0.000116,756.0,14.0,-15.0,6004.0,77.0,-78.0,0.98,0.04,-0.03,0.99,0.03,-0.04,0.1,0.00011850000000000001,14.5,0.035,0.035,0.035,0
EPIC 212587672 c,EPIC 212587672,1,2.32,0.19,-0.12,23.228555,6.8e-05,-7.1e-05,658.0,13.0,-14.0,6004.0,77.0,-78.0,0.98,0.04,-0.03,0.99,0.03,-0.04,0.155,6.950000000000001e-05,13.5,0.035,0.035,0.035,0
EPIC 212737443 b,EPIC 212737443,1,2.586,0.126,-0.126,13.603,0.0013,-0.0013,536.0,18.0,-18.0,4684.0,79.0,-79.0,0.673,0.024,-0.024,0.69,0.038,-0.038,0.126,0.0013,18.0,0.024,0.024,0.038,0
EPIC 212737443 c,EPIC 212737443,1,2.69,0.146,-0.146,65.55,0.0089,-0.0089,316.0,10.0,-10.0,4684.0,79.0,-79.0,0.673,0.024,-0.024,0.69,0.038,-0.038,0.146,0.0089,10.0,0.024,0.024,0.038,0
EPIC 220674823 b,EPIC 220674823,1,1.676,0.037,-0.037,0.5713127,5.5e-06,-5.5e-06,2299.0,36.0,-35.0,5578.0,46.0,-46.0,0.99,0.012,-0.012,0.913,0.024,-0.024,0.037,5.5e-06,35.5,0.012,0.012,0.024,0
EPIC 220674823 c,EPIC 220674823,1,2.84,0.1,-0.08,13.33989,0.00068,-0.0007,804.0,13.0,-12.0,5578.0,46.0,-46.0,0.99,0.012,-0.012,0.913,0.024,-0.024,0.09,0.0006900000000000001,12.5,0.012,0.012,0.024,0
EPIC 229004835 b,EPIC 229004835,1,2.332,0.08,-0.094,16.141132,1.9e-05,-1.9e-05,804.0,10.0,-10.0,5868.0,60.0,-60.0,0.999,0.008,-0.008,0.97,0.04,-0.04,0.087,1.9e-05,10.0,0.008,0.008,0.04,0
EPIC 246851721 b,EPIC 246851721,1,11.780659,0.493196,-0.493196,6.180235,1.4e-05,-1.4e-05,1401.0,16.0,-16.0,6202.0,52.0,-50.0,1.586,0.034,-0.033,1.317,0.041,-0.04,0.493196,1.4e-05,16.0,0.0335,0.0335,0.0405,0
EPIC 248847494 b,EPIC 248847494,1,12.44199,0.78463,-0.78463,3650.0,1280.0,-1130.0,183.0,25.0,-18.0,4898.0,68.0,-68.0,2.7,0.12,-0.12,0.9,0.09,-0.09,0.78463,1205.0,21.5,0.12,0.12,0.09,0
EPIC 249893012 b,EPIC 249893012,1,1.95,0.09,-0.08,3.5951,0.0003,-0.0003,1616.0,149.0,-79.0,5430.0,85.0,-85.0,1.71,0.04,-0.04,1.05,0.05,-0.05,0.08499999999999999,0.0003,114.0,0.04,0.04,0.05,0
EPIC 249893012 c,EPIC 249893012,1,3.67,0.17,-0.14,15.624,0.001,-0.001,990.0,92.0,-49.0,5430.0,85.0,-85.0,1.71,0.04,-0.04,1.05,0.05,-0.05,0.15500000000000003,0.001,70.5,0.04,0.04,0.05,0
EPIC 249893012 d,EPIC 249893012,1,3.94,0.13,-0.12,35.747,0.005,-0.005,752.0,69.0,-37.0,5430.0,85.0,-85.0,1.71,0.04,-0.04,1.05,0.05,-0.05,0.125,0.005,53.0,0.04,0.04,0.05,0
G 9-40 b,G 9-40,1,1.9,0.065,-0.065,5.7459982,2e-06,-2e-06,440.6,7.6,-7.6,3395.0,51.0,-51.0,0.3026,0.0095,-0.0095,0.2952,0.0136,-0.0136,0.065,2e-06,7.6,0.0095,0.0095,0.0136,0
GJ 1132 b,GJ 1132,1,1.19151465,0.03811053,-0.04483592,1.62892911,2.9e-07,-3e-07,583.8,11.0,-8.5,3229.0,78.0,-62.0,0.2211,0.0069,-0.0081,0.1945,0.0048,-0.0046,0.041473225,2.95e-07,9.75,0.0075,0.0075,0.004699999999999999,0
GJ 1214 b,GJ 1214,1,2.733,0.033,-0.031,1.580404531,1.8e-08,-1.7e-08,567.0,7.6,-7.6,3101.0,43.0,-43.0,0.2162,0.0025,-0.0024,0.182,0.0042,-0.0041,0.032,1.7499999999999998e-08,7.6,0.00245,0.00245,0.00415,0
GJ 143 b,GJ 143,1,2.61,0.17,-0.16,35.61253,0.0006,-0.00062,422.0,15.0,-14.0,4640.0,100.0,-100.0,0.695,0.03,-0.03,0.73,0.07,-0.07,0.165,0.00061,14.5,0.03,0.03,0.07,0
GJ 238 b,GJ 238,1,0.566,0.014,-0.014,1.7446999,1.9e-06,-1.8e-06,758.0,16.0,-15.0,3485.0,140.0,-140.0,0.4314,0.0075,-0.0071,0.4193,0.0095,-0.0098,0.014,1.85e-06,15.5,0.0073,0.0073,0.009649999999999999,0
GJ 3090 b,GJ 3090,1,2.18,0.06,-0.06,2.85310198,8.2e-07,-8.2e-07,723.0,13.0,-13.0,3707.0,32.0,-32.0,0.516,0.016,-0.016,0.519,0.013,-0.013,0.06,8.2e-07,13.0,0.016,0.016,0.013,0
GJ 3470 b,GJ 3470,1,4.57,0.18,-0.18,3.3366496,3.9e-06,-3.3e-06,593.5,96.5,-96.5,3600.0,100.0,-100.0,0.547,0.018,-0.018,0.539,0.047,-0.043,0.18,3.6000000000000003e-06,96.5,0.018,0.018,0.045,0
GJ 3473 b,GJ 3473,1,1.264,0.05,-0.049,1.1980035,1.8e-06,-1.9e-06,773.0,16.0,-15.0,3347.0,54.0,-54.0,0.364,0.012,-0.012,0.36,0.016,-0.016,0.0495,1.85e-06,15.5,0.012,0.012,0.016,0
GJ 357 b,GJ 357,1,1.2,0.06,-0.06,3.9306,2e-06,-2e-06,518.0,44.0,-44.0,3505.0,51.0,-51.0,0.337,0.015,-0.015,0.342,0.011,-0.011,0.06,2e-06,44.0,0.015,0.015,0.011,0
GJ 367 b,GJ 367,1,0.699,0.024,-0.024,0.3219225,2e-07,-2e-07,1365.0,32.0,-32.0,3522.0,70.0,-70.0,0.458,0.013,-0.013,0.455,0.011,-0.011,0.024,2e-07,32.0,0.013,0.013,0.011,0
GJ 3929 b,GJ 3929,1,1.09,0.04,-0.04,2.616235,5e-06,-5e-06,568.0,6.0,-6.0,3384.0,88.0,-88.0,0.32,0.01,-0.01,0.313,0.027,-0.022,0.04,5e-06,6.0,0.01,0.01,0.0245,0
GJ 414 A b,GJ 414 A,1,2.63,1.22,-0.85,50.8,0.1,-0.26,308.6,33.5,-33.5,4120.0,109.0,-109.0,0.68,0.14,-0.14,0.65,0.08,-0.08,1.035,0.18,33.5,0.14,0.14,0.08,0
GJ 414 A c,GJ 414 A,1,8.4,3.6,-2.5,749.83,4.35,-3.63,124.7,13.5,-13.5,4120.0,109.0,-109.0,0.68,0.14,-0.14,0.65,0.08,-0.08,3.05,3.9899999999999998,13.5,0.14,0.14,0.08,0
GJ 486 b,GJ 486,1,1.289,0.019,-0.014,1.46712127,3.1e-07,-3.5e-07,696.3,7.2,-7.3,3317.0,36.0,-37.0,0.3243,0.0044,-0.0034,0.312,0.007,-0.0069,0.0165,3.3e-07,7.25,0.0039,0.0039,0.00695,0
GJ 806 b,GJ 806,1,1.331,0.023,-0.023,0.9263237,9e-07,-9e-07,940.0,10.0,-10.0,3600.0,16.0,-16.0,0.4144,0.0038,-0.0038,0.413,0.011,-0.011,0.023,9e-07,10.0,0.0038,0.0038,0.011,0
GJ 9827 b,GJ 9827,1,1.44,0.09,-0.07,1.208974,1e-06,-1e-06,1035.01,29.07,-29.07,4236.0,12.0,-12.0,0.58,0.03,-0.03,0.62,0.04,-0.04,0.08,1e-06,29.07,0.03,0.03,0.04,0
GJ 9827 c,GJ 9827,1,1.13,0.07,-0.05,3.648103,1.3e-05,-1e-05,715.94,20.33,-20.33,4236.0,12.0,-12.0,0.58,0.03,-0.03,0.62,0.04,-0.04,0.060000000000000005,1.15e-05,20.33,0.03,0.03,0.04,0
GJ 9827 d,GJ 9827,1,1.98,0.11,-0.1,6.20183,3e-06,-3e-06,675.0,14.0,-12.0,4236.0,12.0,-12.0,0.58,0.03,-0.03,0.62,0.04,-0.04,0.10500000000000001,3e-06,13.0,0.03,0.03,0.04,0
GPX-1 b,GPX-1,1,16.47720163,1.12089807,-1.12089807,1.744579,8e-06,-8e-06,2300.0,48.0,-48.0,7000.0,200.0,-200.0,1.56,0.1,-0.1,1.68,0.1,-0.1,1.12089807,8e-06,48.0,0.1,0.1,0.1,0
HAT-P-1 b,HAT-P-1,1,14.784671,0.212971,-0.212971,4.46529976,5.5e-07,-5.5e-07,1322.0,14.0,-15.0,5980.0,49.0,-49.0,1.174,0.026,-0.027,1.151,0.052,-0.051,0.212971,5.5e-07,14.5,0.0265,0.0265,0.0515,0
HAT-P-12 b,HAT-P-12,1,10.749,0.325,-0.235,3.2130598,2.1e-06,-2.1e-06,963.0,16.0,-16.0,4650.0,60.0,-60.0,0.701,0.017,-0.012,0.733,0.018,-0.018,0.28,2.1e-06,16.0,0.0145,0.0145,0.018,0
HAT-P-18 b,HAT-P-18,1,11.153,0.583,-0.583,5.508023,6e-06,-6e-06,852.0,28.0,-28.0,4803.0,80.0,-80.0,0.749,0.037,-0.037,0.77,0.031,-0.031,0.583,6e-06,28.0,0.037,0.037,0.031,0
HAT-P-19 b,HAT-P-19,1,11.29865255,0.15692573,-0.14571675,4.00878322,1.9e-07,-1.9e-07,981.2,7.7,-8.1,4962.0,39.0,-41.0,0.773,0.011,-0.01,0.807,0.034,-0.03,0.15132124000000002,1.9e-07,7.9,0.010499999999999999,0.010499999999999999,0.032,0
HAT-P-20 b,HAT-P-20,1,9.718,0.37,-0.37,2.875317,4e-06,-4e-06,970.0,23.0,-23.0,4595.0,80.0,-80.0,0.694,0.021,-0.021,0.756,0.028,-0.028,0.37,4e-06,23.0,0.021,0.021,0.028,0
HAT-P-23 b,HAT-P-23,1,15.334,1.009,-1.009,1.212884,2e-06,-2e-06,2056.0,66.0,-66.0,5905.0,80.0,-80.0,1.203,0.074,-0.074,1.13,0.035,-0.035,1.009,2e-06,66.0,0.074,0.074,0.035,0
HAT-P-25 b,HAT-P-25,1,12.722215,0.538032,-0.538032,3.65281514,7.6e-07,-7.5e-07,1182.0,25.0,-25.0,5519.0,78.0,-76.0,0.919,0.034,-0.034,1.012,0.053,-0.051,0.538032,7.55e-07,25.0,0.034,0.034,0.052,0
HAT-P-28 b,HAT-P-28,1,13.585,1.267,-0.919,3.257215,7e-06,-7e-06,1384.0,52.0,-52.0,5680.0,90.0,-90.0,1.103,0.091,-0.069,1.025,0.047,-0.047,1.093,7e-06,52.0,0.08,0.08,0.047,0
HAT-P-32 b,HAT-P-32,1,22.19382,0.504405,-0.504405,2.1500082,1.3e-07,-1.3e-07,1835.7,6.8,-6.9,6001.0,88.0,-88.0,1.367,0.031,-0.03,1.132,0.051,-0.05,0.504405,1.3e-07,6.85,0.0305,0.0305,0.0505,0
HAT-P-36 b,HAT-P-36,1,14.313893,0.22418,-0.22418,1.32734683,4.8e-07,-4.8e-07,1780.97,18.8,-18.8,5620.0,40.0,-40.0,1.041,0.013,-0.013,1.03,0.03,-0.03,0.22418,4.8e-07,18.8,0.013,0.013,0.03,0
HAT-P-37 b,HAT-P-37,1,13.204,0.863,-0.863,2.797436,7e-06,-7e-06,1271.0,47.0,-47.0,5500.0,100.0,-100.0,0.877,0.059,-0.044,0.929,0.043,-0.043,0.863,7e-06,47.0,0.0515,0.0515,0.043,0
HAT-P-38 b,HAT-P-38,1,9.247,1.031,-0.706,4.640382,3.2e-05,-3.2e-05,1082.0,55.0,-55.0,5330.0,100.0,-100.0,0.923,0.096,-0.067,0.886,0.044,-0.044,0.8684999999999999,3.2e-05,55.0,0.0815,0.0815,0.044,0
HAT-P-39 b,HAT-P-39,1,17.609,1.211,-0.908,3.54387,5e-06,-5e-06,1752.0,43.0,-43.0,6430.0,100.0,-100.0,1.625,0.081,-0.62,1.404,0.051,-0.51,1.0595,5e-06,43.0,0.3505,0.3505,0.2805,0
HAT-P-4 b,HAT-P-4,1,14.28,0.549,-0.673,3.056536,,,1686.0,30.0,-26.0,5860.0,80.0,-80.0,1.596,0.06,-0.075,1.248,0.07,-0.12,0.611,0.0,28.0,0.0675,0.0675,0.095,0
HAT-P-42 b,HAT-P-42,1,14.348,1.715,-1.715,4.641878,3.2e-05,-3.2e-05,1428.0,60.0,-60.0,5743.0,50.0,-50.0,1.53,0.14,-0.14,1.178,0.068,-0.068,1.715,3.2e-05,60.0,0.14,0.14,0.068,0
HAT-P-43 b,HAT-P-43,1,13.63,0.64,-0.63,3.3326414,1.51e-05,-1.53e-05,1353.0,16.0,-16.0,5693.0,62.0,-63.0,1.08,0.05,-0.05,1.03,0.04,-0.04,0.635,1.52e-05,16.0,0.05,0.05,0.04,0
HAT-P-44 b,HAT-P-44,1,13.922,1.188,-0.572,4.301219,1.9e-05,-1.9e-05,1108.0,51.0,-32.0,5295.0,100.0,-100.0,0.949,0.08,-0.037,0.942,0.041,-0.041,0.8799999999999999,1.9e-05,41.5,0.058499999999999996,0.058499999999999996,0.041,0
HAT-P-45 b,HAT-P-45,1,15.984,1.962,-0.975,3.128992,2.1e-05,-2.1e-05,1652.0,90.0,-52.0,6330.0,100.0,-100.0,1.319,0.155,-0.072,1.259,0.058,-0.058,1.4685,2.1e-05,71.0,0.11349999999999999,0.11349999999999999,0.058,0
HAT-P-46 b,HAT-P-46,1,14.392,3.038,-1.491,4.463129,4.8e-05,-4.8e-05,1458.0,140.0,-75.0,6120.0,100.0,-100.0,1.396,0.293,-0.136,1.284,0.095,-0.06,2.2645,4.8e-05,107.5,0.2145,0.2145,0.0775,0
HAT-P-50 b,HAT-P-50,1,14.437192,0.717376,-0.717376,3.1220109,6.5e-06,-6.5e-06,1862.0,34.0,-34.0,6280.0,49.0,-49.0,1.698,0.071,-0.071,1.273,0.049,-0.115,0.717376,6.5e-06,34.0,0.071,0.071,0.082,0
HAT-P-51 b,HAT-P-51,1,13.50682174,0.19055267,-0.17934369,4.21802091,6.6e-07,-6.6e-07,1168.2,6.9,-7.0,5453.0,31.0,-32.0,0.995,0.013,-0.013,0.961,0.04,-0.036,0.18494818000000002,6.6e-07,6.95,0.013,0.013,0.038,0
HAT-P-52 b,HAT-P-52,1,11.309881,0.807048,-0.807048,2.7535953,9.4e-06,-9.4e-06,1218.0,37.0,-37.0,5131.0,50.0,-50.0,0.893,0.047,-0.047,0.887,0.027,-0.027,0.807048,9.4e-06,37.0,0.047,0.047,0.027,0
HAT-P-53 b,HAT-P-53,1,14.773462,1.020019,-1.020019,1.9616241,3.9e-06,-3.9e-06,1778.0,48.0,-48.0,5956.0,50.0,-50.0,1.209,0.081,-0.062,1.093,0.043,-0.043,1.020019,3.9e-06,48.0,0.07150000000000001,0.07150000000000001,0.043,0
HAT-P-54 b,HAT-P-54,1,10.581296,0.313852,-0.313852,3.799847,1.4e-05,-1.4e-05,818.0,12.0,-12.0,4390.0,50.0,-50.0,0.617,0.013,-0.013,0.645,0.02,-0.02,0.313852,1.4e-05,12.0,0.013,0.013,0.02,0
HAT-P-55 b,HAT-P-55,1,14.84069045,0.25780656,-0.24659758,3.5852313,5.1e-07,-5.1e-07,1367.0,11.0,-11.0,5804.0,37.0,-37.0,1.105,0.018,-0.017,1.028,0.05,-0.048,0.25220207,5.1e-07,11.0,0.0175,0.0175,0.049,0
HAT-P-58 b,HAT-P-58,1,14.93036229,0.48198617,-0.48198617,4.0138379,2.4e-06,-2.4e-06,1622.0,18.0,-18.0,6078.0,48.0,-48.0,1.53,0.034,-0.034,1.031,0.028,-0.028,0.48198617,2.4e-06,18.0,0.034,0.034,0.028,0
HAT-P-59 b,HAT-P-59,1,12.58768533,0.14571675,-0.14571675,4.1419771,1.2e-06,-1.2e-06,1277.8,6.5,-6.5,5678.0,16.0,-16.0,1.1038,0.0073,-0.0073,1.008,0.022,-0.022,0.14571675,1.2e-06,6.5,0.0073,0.0073,0.022,0
HAT-P-60 b,HAT-P-60,1,18.28184752,0.26901554,-0.26901554,4.7947813,2.4e-06,-2.4e-06,1772.0,12.0,-12.0,6212.0,26.0,-26.0,2.197,0.027,-0.02,1.435,0.012,-0.012,0.26901554,2.4e-06,12.0,0.0235,0.0235,0.012,0
HAT-P-61 b,HAT-P-61,1,10.07687365,0.30264248,-0.30264248,1.90231289,7.7e-07,-7.7e-07,1505.0,16.0,-16.0,5587.0,45.0,-45.0,0.938,0.011,-0.011,1.004,0.033,-0.033,0.30264248,7.7e-07,16.0,0.011,0.011,0.033,0
HAT-P-62 b,HAT-P-62,1,12.02723629,0.32506044,-0.32506044,2.6453235,3.9e-06,-3.9e-06,1512.0,13.0,-13.0,5629.0,48.0,-48.0,1.17,0.016,-0.016,1.023,0.02,-0.02,0.32506044,3.9e-06,13.0,0.016,0.016,0.02,0
HAT-P-63 b,HAT-P-63,1,12.5428494,0.36989636,-0.36989636,3.377728,1.3e-05,-1.3e-05,1237.0,11.0,-11.0,5400.0,55.0,-39.0,0.9661,0.011,-0.0082,0.925,0.023,-0.023,0.36989636,1.3e-05,11.0,0.009600000000000001,0.009600000000000001,0.023,0
HAT-P-64 b,HAT-P-64,1,19.08889413,0.78462865,-0.78462865,4.007232,1.7e-06,-1.7e-06,1766.0,22.0,-16.0,6457.0,29.0,-29.0,1.735,0.041,-0.028,1.298,0.021,-0.021,0.78462865,1.7e-06,19.0,0.0345,0.0345,0.021,0
HAT-P-65 b,HAT-P-65,1,18.05766791,0.26901554,-0.26901554,2.60544751,5e-07,-4.9e-07,1818.0,13.0,-13.0,5872.0,40.0,-40.0,1.666,0.024,-0.024,1.297,0.056,-0.053,0.26901554,4.949999999999999e-07,13.0,0.024,0.024,0.0545,0
HAT-P-66 b,HAT-P-66,1,17.82231,1.79344,-1.1209,2.972086,5.7e-06,-5.7e-06,1896.0,66.0,-42.0,6002.0,50.0,-50.0,1.881,0.151,-0.095,1.255,0.107,-0.054,1.45717,5.7e-06,54.0,0.123,0.123,0.0805,0
HAT-P-68 b,HAT-P-68,1,12.016048,0.134508,-0.134508,2.29840551,5.2e-07,-5.2e-07,1027.8,8.2,-8.2,4508.0,43.0,-43.0,0.6701,0.0041,-0.0032,0.6785,0.0299,-0.0079,0.134508,5.2e-07,8.2,0.0036500000000000005,0.0036500000000000005,0.0189,0
