pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
TOI-871 b,TOI-871,1,1.664,0.114,-0.113,14.362565,9e-05,-9e-05,621.0,16.05,-16.05,4929.0,80.0,-75.0,0.719,0.025,-0.025,0.758,0.046,-0.044,0.1135,9e-05,16.05,0.025,0.025,0.045,0
TOI-880 c,TOI-880,1,4.95,0.2,-0.2,6.3872703,6.9e-06,-7.3e-06,805.0,25.0,-23.0,5050.0,100.0,-100.0,0.83,0.03,-0.03,0.87,0.03,-0.03,0.2,7.1e-06,24.0,0.03,0.03,0.03,0
TOI-880.02,TOI-880,1,2.19,0.11,-0.11,2.57571,0.00028,-0.00012,1085.0,31.0,-29.0,5050.0,100.0,-100.0,0.83,0.03,-0.03,0.87,0.03,-0.03,0.11,0.00019999999999999998,30.0,0.03,0.03,0.03,0
TOI-892 b,TOI-892,1,11.99363,0.22418,-0.22418,10.62656,7e-05,-7e-05,1397.0,40.0,-40.0,6261.0,80.0,-80.0,1.39,0.02,-0.02,1.28,0.03,-0.02,0.22418,7e-05,40.0,0.02,0.02,0.025,0
TOI-904 b,TOI-904,1,2.426,0.163,-0.152,10.8772,0.0003,-0.0003,429.43,32.61,-32.61,3770.2,70.0,-70.0,0.527,0.021,-0.021,0.557,0.028,-0.028,0.1575,0.0003,32.61,0.021,0.021,0.028,0
TOI-904 c,TOI-904,1,2.167,0.13,-0.118,83.9997,0.0006,-0.0007,217.26,9.1,-9.1,3770.2,70.0,-70.0,0.527,0.021,-0.021,0.557,0.028,-0.028,0.124,0.00065,9.1,0.021,0.021,0.028,0
TOI-905 b,TOI-905,1,13.125739,0.594077,-0.571659,3.739494,3.8e-05,-3.8e-05,1192.0,39.0,-36.0,5570.0,150.0,-140.0,0.918,0.038,-0.036,0.968,0.061,-0.068,0.5828679999999999,3.8e-05,37.5,0.037,0.037,0.0645,0
TOI-907.01,TOI-907,1,9.6158851,0.6116279,-0.6116279,4.5849129,,,1846.6,,,6272.0,,,2.059789,,,1.069357,,,0.6116279,0.0,0.0,0.0,0.0,0.0,0
TOI-908 b,TOI-908,1,3.186,0.155,-0.155,3.183792,7e-06,-7e-06,1317.0,38.0,-38.0,5626.0,61.0,-61.0,1.028,0.03,-0.03,0.95,0.01,-0.01,0.155,7e-06,38.0,0.03,0.03,0.01,0
TOI-912 b,TOI-912,1,1.93,0.13,-0.13,4.6780691,1.7e-06,-1.7e-06,551.0,27.0,-27.0,3572.0,100.0,-100.0,0.419,0.028,-0.028,0.418,0.03,-0.03,0.13,1.7e-06,27.0,0.028,0.028,0.03,0
TOI-913 b,TOI-913,1,2.4528,0.1269,-0.1009,11.098644,0.000587,-0.000581,712.01,,,4969.0,129.0,-129.0,0.7325,0.0488,-0.0488,0.82,0.0973,-0.0973,0.1139,0.000584,0.0,0.0488,0.0488,0.0973,0
